DATE,CLOSING PRICE,OPEN,DAILY HIGH,DAILY LOW
2019-10-01,"32,254.32","32,078.85","32,290.39","32,002.11"
2019-10-02,"32,363.35","32,254.32","32,388.73","32,180.71"
2019-10-03,"32,752.25","32,363.35","32,833.54","32,279.86"
2019-10-04,"33,033.32","32,752.26","33,053.79","32,699.24"
2019-10-07,"33,636.82","33,033.32","33,850.96","32,947.22"
2019-10-08,"33,476.62","33,636.82","33,872.18","33,409.12"
2019-10-09,"33,523.74","33,476.62","33,604.16","33,339.32"
2019-10-10,"34,027.70","33,523.74","34,047.11","33,523.74"
2019-10-11,"34,475.69","34,027.70","34,689.30","34,027.70"
2019-10-14,"34,186.26","34,475.69","34,697.34","34,124.81"
2019-10-15,"34,083.53","34,186.26","34,259.23","33,929.19"
2019-10-16,"34,281.09","34,083.53","34,434.06","34,083.53"
2019-10-17,"33,898.56","34,281.09","34,361.45","33,836.97"
2019-10-18,"33,870.15","33,898.56","34,096.39","33,667.80"
2019-10-21,"33,084.73","33,870.15","33,885.47","33,074.86"
2019-10-22,"33,198.96","33,084.73","33,240.10","32,960.65"
2019-10-23,"33,439.69","33,198.96","33,639.76","33,198.96"
2019-10-24,"33,762.48","33,439.69","33,862.64","33,439.69"
2019-10-25,"33,657.46","33,762.48","33,943.81","33,597.86"
2019-10-28,"33,861.59","33,657.46","34,008.35","33,572.36"
2019-10-29,"33,797.51","33,861.59","34,016.55","33,715.97"
2019-10-30,"33,761.41","33,797.51","33,951.48","33,670.70"
2019-10-31,"34,203.68","33,761.41","34,306.00","33,761.41"
2019-11-01,"34,377.61","34,203.68","34,489.51","34,108.10"
