symbol,current_price_usd,daily_volume_traded,daily_perc_change,daily_hour_high,daily_hour_low
tZECUSD,28.679,3201.81166817,-3.9699999999999998,29.971,28.689
tZECBTC,0.0037692,1036.41249178,-0.38999999999999996,0.0038188,0.0037562
tXMRUSD,54.668,3487.12066068,-2.1999999999999997,56.547,54.561
tXMRBTC,0.0072004,1601.21602818,0.53,0.0072366,0.0071356
tDSHUSD,55.628,990.14339052,-9.959999999999999,61.77,55.211
tDSHBTC,0.0073028,1235.75892036,-6.15,0.0077856,0.0072076
tBTCEUR,6906.9,40.14280658,-2.85,7201.623184,6872.4
tBTCJPY,833180,36.08976747,-2.48,867410,829107.48892
tXRPUSD,0.2261,414442.98993343,-2.93,0.23355,0.2253
tXRPBTC,2.97e-5,1553613.28930762,-0.06999999999999999,2.987e-5,2.939e-5
tIOTUSD,0.20828,123873.36508461,-3.9899999999999998,0.22009,0.20659
tIOTBTC,2.728e-5,313345.75400551,-0.48,2.828e-5,2.724e-5
tIOTETH,0.001358,157853.59575497,-1.15,0.0014214,0.0013586
tEOSUSD,2.7596,36124.26362728,-1.79,2.8477,2.7301
tEOSBTC,3.6257e-4,28477.77665031,0.8699999999999999,3.6297e-4,3.567e-4
tEOSETH,0.017989,65547.68354447,-0.63,0.018143,0.017897
tSANUSD,0.24,45393.32271937,0,0.277,0.26
tSANBTC,3.189e-5,40572.00544776,0,3.197e-5,3.19e-5
tSANETH,0.0014668,72223.08076948,0.96,0.0017456,0.0017289
tOMGUSD,0.7664,76003.38652563,-6.41,0.82675,0.75419
tOMGBTC,1.0067e-4,62716.57472526,-4.12,1.0544e-4,9.945e-5
tOMGETH,0.0049874,50738.45339493,-3.62,0.0051807,0.0049932
tNEOUSD,9.374,5639.48668527,-4.74,9.9,9.26
tNEOBTC,0.0012299,8420.50672739,-2.92,0.001264,0.001218
tNEOETH,0.06117,1943.86243338,-2.5100000000000002,0.063186,0.061045
tETPUSD,0.38999,20206.81599396,-3.4099999999999997,0.41878,0.38753
tETPBTC,5.111e-5,21076.66471433,-0.64,5.351e-5,5.106e-5
